wkt_geom,fid,date,lai,location,protocol_version,Barcode Biomass Sample,Barcode Leaf Area Sample,Row Spacing [cm],leaf_area_cm2,Comment,tmean_degC,gdd,gdd_cumsum,parcel,genotype,index_right,point_id
Point (1009573.51416965096723288 6051626.82191083673387766),1,2022-03-17 10:34:56,0.4472642662,Arenenberg,v2.0,13508,13541,12,107.3434239,,8.6,8.6,694.5,Broatefaeld,,1,1
Point (1009584.96292864845599979 6051647.73649800289422274),2,2022-03-28 09:07:15,0.3315863111,Arenenberg,v2.0,13574,13637,13,43.10622044,2nd fertilizer application (N),11.6,11.6,802.1,Broatefaeld,,1,1
Point (1009582.48096459521912038 6051635.1835830258205533),3,2022-05-11 09:48:44,2.77,Arenenberg,v3.0,14970,0,14,0,,20.9,20.9,1287.6,Broatefaeld,,1,1
Point (1009582.48096459521912038 6051635.1835830258205533),4,2022-05-11 09:48:44,2.77,Arenenberg,v3.0,14970,0,14,0,,20.9,20.9,1287.6,Broatefaeld,,1,1
Point (1009579.29919864726252854 6051649.44763076212257147),5,2022-05-19 13:14:04,3.67,Arenenberg,v3.0,15096,0,13,0,,21.6,21.6,1447.6,Broatefaeld,,1,1
Point (1009585.41080186096951365 6051642.90791872143745422),6,2022-06-15 11:45:12,3.78,Arenenberg,v3.0,20147,0,14,0,,22.2,22.2,1926.4,Broatefaeld,,1,1
Point (1009492.75703100266400725 6051671.33907577395439148),7,2022-03-17 11:09:43,0.7558729996,Arenenberg,v2.0,13507,13540,12,181.4095199,,8.6,8.6,694.5,Broatefaeld,,3,3
Point (1009508.0780271504772827 6051675.25321657489985228),8,2022-03-28 09:22:47,0.4561789692,Arenenberg,v2.0,13573,13636,13,59.303266,2nd fertilizer application (N),11.6,11.6,802.1,Broatefaeld,,3,3
Point (1009507.05165103846229613 6051673.70834308862686157),9,2022-05-11 09:58:08,2.8,Arenenberg,v3.0,14971,0,14,0,,20.9,20.9,1287.6,Broatefaeld,,3,3
Point (1009507.05165103846229613 6051673.70834308862686157),10,2022-05-11 09:58:08,2.8,Arenenberg,v3.0,14971,0,14,0,,20.9,20.9,1287.6,Broatefaeld,,3,3
Point (1009501.12666166317649186 6051669.77341995295137167),11,2022-05-19 13:20:06,3.54,Arenenberg,v3.0,15097,0,13,0,,21.6,21.6,1447.6,Broatefaeld,,3,3
Point (1009502.20902192709036171 6051681.80680850800126791),12,2022-06-15 11:59:39,3.82,Arenenberg,v3.0,20148,0,14,0,,22.2,22.2,1926.4,Broatefaeld,,3,3
Point (1009427.3955340376123786 6051716.23056713491678238),13,2022-03-17 11:38:36,0.5839359384,Arenenberg,v2.0,13506,13539,12,140.1446252,,8.6,8.6,694.5,Broatefaeld,,0,0
Point (1009426.02392232406418771 6051722.79804564081132412),14,2022-03-28 10:04:32,0.8701463241,Arenenberg,v2.0,13571,13634,13,113.1190221,2nd fertilizer application (N),11.6,11.6,802.1,Broatefaeld,,0,0
Point (1009423.46731273527257144 6051727.94534505158662796),15,2022-05-11 10:04:38,2.99,Arenenberg,v3.0,14972,0,14,0,,20.9,20.9,1287.6,Broatefaeld,,0,0
Point (1009423.46731273527257144 6051727.94534505158662796),16,2022-05-11 10:04:38,2.99,Arenenberg,v3.0,14972,0,14,0,,20.9,20.9,1287.6,Broatefaeld,,0,0
Point (1009423.82187902869191021 6051725.34744792617857456),17,2022-05-19 13:25:27,3.6,Arenenberg,v3.0,15098,0,13,0,,21.6,21.6,1447.6,Broatefaeld,,0,0
Point (1009419.74436665559187531 6051725.12576074339449406),18,2022-06-15 12:03:41,3.95,Arenenberg,v3.0,20149,0,14,0,,22.2,22.2,1926.4,Broatefaeld,,0,0
Point (1009435.90512507711537182 6051678.46073504909873009),19,2022-03-28 09:44:50,0.5219298907,Arenenberg,v2.0,13572,13635,13,67.8508858,2nd fertilizer application (N),11.6,11.6,802.1,Broatefaeld,,2,2
Point (1009435.23331525817047805 6051680.67066747881472111),20,2022-05-11 10:11:50,2.85,Arenenberg,v3.0,14973,0,14,0,,20.9,20.9,1287.6,Broatefaeld,,2,2
Point (1009435.23331525817047805 6051680.67066747881472111),21,2022-05-11 10:11:50,2.85,Arenenberg,v3.0,14973,0,14,0,,20.9,20.9,1287.6,Broatefaeld,,2,2
Point (1009434.40288367646280676 6051680.34506611526012421),22,2022-05-19 13:30:34,3.52,Arenenberg,v3.0,15099,0,13,0,,21.6,21.6,1447.6,Broatefaeld,,2,2
Point (1009440.3092116677435115 6051683.71192337945103645),23,2022-06-15 12:07:30,4.4,Arenenberg,v3.0,20150,0,14,0,,22.2,22.2,1926.4,Broatefaeld,,2,2
Point (967255.58851998194586486 6015280.676189417950809),24,2022-03-11 13:47:27,0.06804567942,Strickhof,v2.0,13489,13522,12,16.33096306,,5.7,5.7,394.2,Bramenwies,Montalbano,0,0
Point (967260.41248770954553038 6015282.26286165975034237),25,2022-03-18 13:00:01,0.3283328475,Strickhof,v2.0,13552,13615,13,85.36654034,,7.5,7.5,452,Bramenwies,Montalbano,0,0
Point (967242.61885820026509464 6015281.65578703209757805),26,2022-05-06 10:16:44,3.63,Strickhof,v3.0,17223,0,15,0,No red dot,11.2,11.2,919.6,Bramenwies,Montalbano,0,0
Point (967244.28905205545015633 6015275.85408729407936335),27,2022-05-13 12:38:35,4.2,Strickhof,v3.0,17286,0,13,0,,17,17,1035.8,Bramenwies,Montalbano,0,0
Point (967245.83794691588263959 6015292.34858507663011551),28,2022-05-20 13:18:14,4.13,Strickhof,v3.0,21006,0,15,0,,23,23,1175.6,Bramenwies,Montalbano,0,0
Point (967243.27554432686883956 6015288.64131831750273705),29,2022-05-27 10:07:57,5.19,Strickhof,v3.0,20221,0,15,0,,16.4,16.4,1292.9,Bramenwies,Montalbano,0,0
Point (967240.66874358686618507 6015287.28502616100013256),30,2022-06-03 12:49:48,6.9,Strickhof,v3.0,20284,0,15,0,,18.2,18.2,1397.2,Bramenwies,Montalbano,0,0
Point (967243.7945253832731396 6015283.52530109044164419),31,2022-06-10 12:48:25,6.7,Strickhof,v3.0,20691,0,12,0,,15.7,15.7,1514.4,Bramenwies,Montalbano,0,0
Point (967242.09633945219684392 6015287.18154746666550636),32,2022-06-17 13:35:34,4.61,Strickhof,v3.0,20754,0,12,0,,22.9,22.9,1662.4,Bramenwies,Montalbano,0,0
Point (967283.93516206333879381 6015220.32077283877879381),33,2022-03-11 14:14:39,0.1230504723,Strickhof,v2.0,13488,13521,12,29.53211335,,5.7,5.7,394.2,Bramenwies,Montalbano,2,2
Point (967287.35952600138261914 6015213.33946708310395479),34,2022-03-18 13:48:09,0.1597654569,Strickhof,v2.0,13553,13616,14,44.73432793,,7.5,7.5,452,Bramenwies,Montalbano,2,2
Point (967279.54040616459678859 6015221.49352238327264786),35,2022-05-06 10:34:05,3.24,Strickhof,v3.0,17224,0,15,0,No red dot,11.2,11.2,919.6,Bramenwies,Montalbano,2,2
Point (967266.24417016527149826 6015223.71484842337667942),36,2022-05-13 12:52:50,3.61,Strickhof,v3.0,17287,0,15,0,,17,17,1035.8,Bramenwies,Montalbano,2,2
