# index, date, coordinate, B02, B03, B04, B05, B8A
99,2022-12-08,6.913128942372595-47.37330716424498,(200-200),(200-200),(200-200),(100-100),(100-100)
108,2022-12-08,6.779571322568415-47.10204347609712,(200-200),(200-200),(200-200),(100-100),(100-100)
114,2022-12-08,6.652189665396094-46.99802585994567,(200-200),(200-200),(200-200),(100-100),(100-100)
115,2022-12-08,6.528677381908523-46.95376729321464,(200-200),(200-200),(200-200),(100-100),(100-100)
116,2022-12-08,6.493726634686084-46.91190021022342,(200-200),(200-200),(200-200),(100-100),(100-100)
117,2022-12-08,6.620793060913996-46.83009437393528,(200-200),(200-200),(200-200),(100-100),(100-100)
118,2022-12-08,6.6098339374392765-46.806379761330845,(200-200),(200-200),(200-200),(100-100),(100-100)
119,2022-12-08,6.559481207960431-46.792997673386594,(200-200),(200-200),(200-200),(100-100),(100-100)
120,2022-12-08,6.523938104798361-46.770686797042316,(200-200),(200-200),(200-200),(100-100),(100-100)
121,2022-12-08,6.613388199400305-46.76500619945185,(200-200),(200-200),(200-200),(100-100),(100-100)
122,2022-12-08,6.585546101923171-46.75019322474077,(200-200),(200-200),(200-200),(100-100),(100-100)
123,2022-12-08,6.548522036129725-46.74430748816249,(200-200),(200-200),(200-200),(100-100),(100-100)
124,2022-12-08,6.509720815177786-46.7089795724051,(200-200),(200-200),(200-200),(100-100),(100-100)
125,2022-12-08,6.539932421522735-46.69922987929465,(200-200),(200-200),(200-200),(100-100),(100-100)
126,2022-12-08,6.511794131519565-46.68480521407892,(200-200),(200-200),(200-200),(100-100),(100-100)
127,2022-12-08,6.263289907377157-46.46613714512142,(200-200),(200-200),(200-200),(100-100),(100-100)
128,2022-12-08,6.278988111274231-46.445936168072336,(200-200),(200-200),(200-200),(100-100),(100-100)
129,2022-12-08,6.1803561158926925-46.392643143779765,(200-200),(200-200),(200-200),(100-100),(100-100)
130,2022-12-08,6.209975368527267-46.4073498757422,(200-200),(200-200),(200-200),(100-100),(100-100)
131,2022-12-08,6.19398092453585-46.37180187537828,(200-200),(200-200),(200-200),(100-100),(100-100)
132,2022-12-08,6.150440617057171-46.322732150437815,(200-200),(200-200),(200-200),(100-100),(100-100)
133,2022-12-08,6.1231908994181765-46.27750813304223,(200-200),(200-200),(200-200),(100-100),(100-100)
134,2022-12-08,6.324009398298017-46.49285623323149,(200-200),(200-200),(200-200),(100-100),(100-100)
135,2022-12-08,6.436562401088736-46.497138132505,(200-200),(200-200),(200-200),(100-100),(100-100)
136,2022-12-08,6.395687832452296-46.51935827791601,(200-200),(200-200),(200-200),(100-100),(100-100)
137,2022-12-08,6.451964412458636-46.523230584614396,(200-200),(200-200),(200-200),(100-100),(100-100)
138,2022-12-08,6.4344889284768385-46.54788451662009,(200-200),(200-200),(200-200),(100-100),(100-100)
139,2022-12-08,6.494912203852266-46.53647579032253,(200-200),(200-200),(200-200),(100-100),(100-100)
140,2022-12-08,6.528085766803741-46.54686597781435,(200-200),(200-200),(200-200),(100-100),(100-100)
141,2022-12-08,6.479510192482394-46.558068853534394,(200-200),(200-200),(200-200),(100-100),(100-100)
142,2022-12-08,6.455518607817737-46.57476702700683,(200-200),(200-200),(200-200),(100-100),(100-100)
143,2022-12-08,6.512091380350142-46.56784401712514,(200-200),(200-200),(200-200),(100-100),(100-100)
144,2022-12-08,6.346815950646942-46.549310436995114,(200-200),(200-200),(200-200),(100-100),(100-100)
145,2022-12-08,6.378212358439981-46.56662221776591,(200-200),(200-200),(200-200),(100-100),(100-100)
146,2022-12-08,6.505871337296554-46.5916636041587,(200-200),(200-200),(200-200),(100-100),(100-100)
147,2022-12-08,6.483064441144734-46.60407816304709,(200-200),(200-200),(200-200),(100-100),(100-100)
148,2022-12-08,6.438931756473039-46.61628647995829,(200-200),(200-200),(200-200),(100-100),(100-100)
149,2022-12-08,6.510017962796098-46.633170114489985,(200-200),(200-200),(200-200),(100-100),(100-100)
150,2022-12-08,6.55740847285378-46.6004151005755,(200-200),(200-200),(200-200),(100-100),(100-100)
151,2022-12-08,6.566170039697937-46.637272949203236,(200-200),(200-200),(200-200),(100-100),(100-100)
152,2022-12-08,6.5957892923324835-46.623238589781636,(200-200),(200-200),(200-200),(100-100),(100-100)
153,2022-12-08,6.599935987701485-46.65374342343435,(200-200),(200-200),(200-200),(100-100),(100-100)
167,2022-12-08,6.6208303932195065-46.736141222790735,(200-200),(200-200),(200-200),(100-100),(100-100)
263,2022-12-07,8.173479998511283-46.84754109306567,(200-200),(200-200),(200-200),(100-100),(100-100)
264,2022-12-07,8.176527763542396-46.827639959851695,(200-200),(200-200),(200-200),(100-100),(100-100)
265,2022-12-07,8.188718809838377-46.88220821015062,(200-200),(200-200),(200-200),(100-100),(100-100)
266,2022-12-07,8.228478135459454-46.90379278772238,(200-200),(200-200),(200-200),(100-100),(100-100)
267,2022-12-07,8.261864796129828-46.87567425439434,(200-200),(200-200),(200-200),(100-100),(100-100)
268,2022-12-07,8.31824845019662-46.94268001087167,(200-200),(200-200),(200-200),(100-100),(100-100)
