# index, date, coordinate, B02, B03, B04, B05, B8A
26,2022-11-27,9.03985068204264-47.58870095852083,(200-200),(200-200),(200-200),(100-100),(100-100)
27,2022-11-27,9.03509147802123-47.630231376765636,(200-200),(200-200),(200-200),(100-100),(100-100)
28,2022-11-27,9.080829932935359-47.628805982822456,(200-200),(200-200),(200-200),(100-100),(100-100)
29,2022-11-27,9.090083377570437-47.61187645790736,(200-200),(200-200),(200-200),(100-100),(100-100)
30,2022-11-27,9.135292860508144-47.60991588468042,(200-200),(200-200),(200-200),(100-100),(100-100)
31,2022-11-27,9.19002037592415-47.612589432251184,(200-200),(200-200),(200-200),(100-100),(100-100)
32,2022-11-27,9.167018956402018-47.59708095377388,(200-200),(200-200),(200-200),(100-100),(100-100)
33,2022-11-27,9.20271067444503-47.59690271870312,(200-200),(200-200),(200-200),(100-100),(100-100)
34,2022-11-27,9.24659844043191-47.604390169941524,(200-200),(200-200),(200-200),(100-100),(100-100)
35,2022-11-27,9.218044954127151-47.58067623149205,(200-200),(200-200),(200-200),(100-100),(100-100)
36,2022-11-27,9.20429700974617-47.574077217495784,(200-200),(200-200),(200-200),(100-100),(100-100)
37,2022-11-27,9.273301268315578-47.57282866045276,(200-200),(200-200),(200-200),(100-100),(100-100)
38,2022-11-27,9.147190218011076-47.56533677127976,(200-200),(200-200),(200-200),(100-100),(100-100)
39,2022-11-27,9.346799803066062-47.54838670732093,(200-200),(200-200),(200-200),(100-100),(100-100)
40,2022-11-27,9.275151703172838-47.59333698094673,(200-200),(200-200),(200-200),(100-100),(100-100)
41,2022-11-27,9.3531450222452-47.52339766166409,(200-200),(200-200),(200-200),(100-100),(100-100)
42,2022-11-27,9.369801270653909-47.50482672685766,(200-200),(200-200),(200-200),(100-100),(100-100)
43,2022-11-27,9.358239282155893-47.48168500788219,(200-200),(200-200),(200-200),(100-100),(100-100)
49,2022-11-27,9.013806642344178-47.529794879560114,(200-200),(200-200),(200-200),(100-100),(100-100)
70,2022-11-10,7.752776665112208-47.29132090452697,(200-200),(200-200),(200-200),(100-100),(100-100)
86,2022-11-10,7.530554856863176-47.49679800639515,(200-200),(200-200),(200-200),(100-100),(100-100)
88,2022-11-10,7.539655593126923-47.42341667408908,(200-200),(200-200),(200-200),(100-100),(100-100)
89,2022-11-10,7.4896664506154025-47.35356095605994,(200-200),(200-200),(200-200),(100-100),(100-100)
90,2022-11-10,7.2890412810453995-47.33718672659833,(200-200),(200-200),(200-200),(100-100),(100-100)
91,2022-11-10,7.274081499165504-47.38785231199117,(200-200),(200-200),(200-200),(100-100),(100-100)
92,2022-11-10,7.281369598029556-47.41537319139903,(200-200),(200-200),(200-200),(100-100),(100-100)
93,2022-11-10,7.191227492286316-47.41900695365217,(200-200),(200-200),(200-200),(100-100),(100-100)
94,2022-11-10,7.122949513451516-47.449883775219405,(200-200),(200-200),(200-200),(100-100),(100-100)
95,2022-11-10,7.039328168586366-47.481001720453776,(200-200),(200-200),(200-200),(100-100),(100-100)
96,2022-11-10,7.139827216084626-47.47944626069253,(200-200),(200-200),(200-200),(100-100),(100-100)
97,2022-11-10,7.091111988322979-47.39616200569395,(200-200),(200-200),(200-200),(100-100),(100-100)
98,2022-11-10,7.000586128744203-47.39979708960158,(200-200),(200-200),(200-200),(100-100),(100-100)
100,2022-11-10,6.997517455538457-47.439766461453615,(200-200),(200-200),(200-200),(100-100),(100-100)
101,2022-11-10,7.085644140035527-47.330042545353365,(200-200),(200-200),(200-200),(100-100),(100-100)
102,2022-11-10,7.0511525790099085-47.25374165589619,(200-200),(200-200),(200-200),(100-100),(100-100)
104,2022-11-10,6.941491965640665-47.20516385310884,(200-200),(200-200),(200-200),(100-100),(100-100)
105,2022-11-10,6.928212751402839-47.15333729535928,(200-200),(200-200),(200-200),(100-100),(100-100)
107,2022-11-10,6.881521418974756-47.111956395135536,(200-200),(200-200),(200-200),(100-100),(100-100)
109,2022-11-10,6.9534861629800275-47.05974715794824,(200-200),(200-200),(200-200),(100-100),(100-100)
110,2022-11-10,6.910649988019884-47.042235373182365,(200-200),(200-200),(200-200),(100-100),(100-100)
111,2022-11-10,6.877237771550227-47.02354979833058,(200-200),(200-200),(200-200),(100-100),(100-100)
114,2022-11-23,6.652189665396094-46.99802585994567,(200-200),(200-200),(200-200),(100-100),(100-100)
115,2022-11-23,6.528677381908523-46.95376729321464,(200-200),(200-200),(200-200),(100-100),(100-100)
116,2022-11-23,6.493726634686084-46.91190021022342,(200-200),(200-200),(200-200),(100-100),(100-100)
117,2022-11-10,6.620793060913996-46.83009437393528,(200-200),(200-200),(200-200),(100-100),(100-100)
119,2022-11-10,6.559481207960431-46.792997673386594,(200-200),(200-200),(200-200),(100-100),(100-100)
120,2022-11-10,6.523938104798361-46.770686797042316,(200-200),(200-200),(200-200),(100-100),(100-100)
